# title = Invariant Mass j-j-electron System
# xlabel = $M_{\text{j}_1\text{j}_2\text{e}^-}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2\text{e}^-}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1635755722
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      40.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      80.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     120.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     160.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     200.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0	   7     240.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0	   8     280.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0	   9     320.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	  10     360.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0	  11     400.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0	  12     440.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     480.00     520.00  1.165268052133403E-09  1.464081479325161E-10 244	  13     480.00     520.00  9.338756924049091E-10  1.169723869990871E-10 244	  13     480.00     520.00  1.479051771145149E-09  1.864752536310640E-10 244
  14     520.00     560.00  5.672562829166740E-07  3.428042263377672E-09 148465	  14     520.00     560.00  4.537454113709423E-07  2.726122078928357E-09 148465	  14     520.00     560.00  7.218086017308987E-07  4.393205428461052E-09 148465
